id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,gc_distance,trip_duration,google_distance,google_duration
id1864422,1,1/1/2016 0:06,1/1/2016 0:31,1,-73.99495697,40.745121,-73.95465851,40.77878189,N,3.140430791,1512,9671,1392
id3574841,1,1/1/2016 0:06,1/1/2016 0:07,1,-73.93579865,40.70730972,-73.93305969,40.70948029,N,0.207592589,61,527,99
id0275133,1,1/1/2016 0:06,1/1/2016 0:16,1,-73.99046326,40.75100708,-73.99276733,40.72535706,N,1.776846121,608,3849,1030
id1004094,2,1/1/2016 0:07,1/1/2016 0:17,3,-73.9536438,40.77526093,-73.97908783,40.7617836,N,1.625218475,597,3503,986
id2041977,2,1/1/2016 0:07,1/1/2016 0:13,1,-73.98226166,40.75159073,-73.98514557,40.73871994,N,0.902262196,383,1837,456
id1693965,2,1/1/2016 0:07,1/1/2016 0:23,1,-73.98831177,40.72318649,-73.94260406,40.71615601,N,2.443036645,944,5985,900
id2265799,1,1/1/2016 0:07,1/1/2016 0:33,1,-73.97222137,40.67683029,-74.02483368,40.6361618,N,3.93821141,1529,8951,1220
id1436179,1,1/1/2016 0:07,1/1/2016 0:17,2,-73.98626709,40.73276901,-73.96098328,40.76099014,N,2.357290666,603,4798,755
id1560712,2,1/1/2016 0:07,1/1/2016 0:18,1,-73.97852325,40.78910065,-73.94638062,40.77690125,N,1.881551815,659,3374,878
id1019488,2,1/1/2016 0:08,1/1/2016 0:22,1,-73.97612,40.74908066,-74.00744629,40.72645187,N,2.266502122,847,5045,1257
id2270359,1,1/1/2016 0:08,1/1/2016 0:09,1,-73.98240662,40.73148727,-73.97903442,40.73601151,N,0.359108073,87,578,131
id1043337,1,1/1/2016 0:08,1/1/2016 0:19,4,-73.98776245,40.75037384,-74.00421906,40.7424202,N,1.022079941,685,2270,610
id3554494,2,1/1/2016 0:08,1/1/2016 0:15,6,-73.97187042,40.75840378,-73.9679184,40.75786972,N,0.210159276,386,560,206
id2608409,1,1/1/2016 0:08,1/1/2016 0:25,1,-73.87303925,40.77410507,-73.98899841,40.7348175,Y,6.650468325,1012,14696,1562
id1781008,2,1/1/2016 0:08,1/1/2016 0:30,2,-73.9921875,40.73451996,-73.99117279,40.76549149,N,2.141187882,1311,4648,1124
id2336715,2,1/1/2016 0:09,1/1/2016 0:19,2,-73.98435974,40.74898529,-73.99628448,40.71605682,N,2.359911666,622,4519,1232
id3530028,2,1/1/2016 0:09,1/1/2016 0:21,1,-73.98092651,40.74196243,-73.9217453,40.74329376,N,3.10028538,739,5967,949
id3421970,2,1/1/2016 0:09,1/1/2016 0:39,1,-74.00701904,40.72573853,-73.95665741,40.7485199,N,3.071552671,1829,8408,1791
id0672409,2,1/1/2016 0:09,1/1/2016 0:21,1,-73.98438263,40.7370491,-73.9853363,40.74628067,N,0.639970749,728,1421,440
id3512166,2,1/1/2016 0:09,1/1/2016 0:19,2,-73.98048401,40.78346252,-73.95332336,40.77671814,N,1.495894233,631,3163,786
id1276140,1,1/1/2016 0:09,1/1/2016 0:16,1,-73.97159576,40.76616669,-73.96800995,40.75263214,N,0.954059847,443,2118,604
id3933480,2,1/1/2016 0:10,1/1/2016 0:13,1,-73.97371674,40.74800873,-73.97853088,40.74497986,N,0.327657909,205,1101,340
id0441132,2,1/1/2016 0:10,1/1/2016 0:16,1,-74.00650024,40.73967743,-74.00687408,40.74409103,N,0.305664031,365,705,314
id3852699,2,1/1/2016 0:11,1/1/2016 0:27,3,-74.00029755,40.72875977,-73.98110962,40.74470139,N,1.491168041,985,3553,985
id0987539,2,1/1/2016 0:11,1/1/2016 0:19,1,-73.96002197,40.79804611,-73.94003296,40.8013382,N,1.070255222,474,2414,588
id2100728,1,1/1/2016 0:11,1/1/2016 0:15,4,-73.98892212,40.73665619,-73.98138428,40.7412529,N,0.506692935,231,1059,317
id1035006,2,1/1/2016 0:11,1/1/2016 0:20,2,-73.95132446,40.82519531,-73.93431091,40.84531784,N,1.650932298,524,3960,670
id2389558,1,1/1/2016 0:11,1/1/2016 0:20,1,-73.9352951,40.69802856,-73.94961548,40.71557617,N,1.426076475,534,2625,697
id3206203,1,1/1/2016 0:11,1/1/2016 0:29,1,-73.97271729,40.76485443,-73.91144562,40.77657318,N,3.307716453,1053,8122,1425
id2330529,1,1/1/2016 0:11,1/1/2016 0:16,1,-73.980896,40.72965622,-73.97625732,40.72343445,N,0.493893054,292,1097,329
id1006852,1,1/1/2016 0:11,1/1/2016 0:31,1,-73.98627472,40.74730682,-73.99465942,40.76932526,N,1.583797164,1206,4108,1068
id0880957,2,1/1/2016 0:11,1/1/2016 0:15,1,-73.97337341,40.78702927,-73.98148346,40.78408813,N,0.47056234,213,1046,283
id3734778,1,1/1/2016 0:12,1/1/2016 0:40,1,-73.98967743,40.75271606,-73.99526215,40.71762848,N,2.442573712,1722,4989,1377
id1770457,2,1/1/2016 0:12,1/1/2016 0:36,2,-73.87296295,40.7740593,-73.99930573,40.73934174,N,7.036079933,1442,15490,1841
id3914876,1,1/1/2016 0:12,1/1/2016 0:17,1,-73.99274445,40.74097824,-73.98841095,40.73363495,N,0.555941502,311,1625,533
id2418487,2,1/1/2016 0:12,1/1/2016 0:20,1,-74.00083923,40.73182678,-73.98532104,40.73240662,N,0.813698347,489,1819,566
id0582638,2,1/1/2016 0:12,1/1/2016 0:24,2,-73.98932648,40.71901321,-73.99514771,40.66609955,N,3.669711755,742,8988,1077
id2050754,1,1/1/2016 0:13,1/1/2016 0:24,1,-73.96422577,40.80247879,-73.94062042,40.8295517,N,2.241742372,651,4151,872
id0986197,2,1/1/2016 0:13,1/1/2016 0:33,1,-73.97636414,40.77549362,-73.99606323,40.72352219,N,3.737040258,1224,10170,1752
id0121081,1,1/1/2016 0:13,1/1/2016 0:23,1,-73.99208069,40.75025177,-73.9725647,40.7466011,N,1.052520033,604,2078,743
id3388812,1,1/1/2016 0:13,1/1/2016 0:23,3,-73.9752655,40.76151657,-73.95830536,40.76698685,N,0.9649463,612,2270,659
id1659866,1,1/1/2016 0:13,1/1/2016 0:23,1,-73.998703,40.72957611,-73.97846222,40.72877502,N,1.061532037,587,2636,881
id2314185,2,1/1/2016 0:14,1/1/2016 0:27,1,-73.95189667,40.80421829,-73.97927094,40.77510834,N,2.469689404,780,4427,1069
id3205136,2,1/1/2016 0:14,1/1/2016 0:38,1,-74.00798798,40.74022675,-73.98130798,40.74541473,N,1.442325213,1425,3368,1035
id1943538,1,1/1/2016 0:14,1/1/2016 0:42,1,-73.99419403,40.74555969,-73.98142242,40.77857971,N,2.378021946,1678,4641,1092
id3754001,2,1/1/2016 0:15,1/1/2016 0:28,1,-73.97737885,40.75883865,-73.98358154,40.73844147,N,1.446631934,804,2935,784
id3847265,1,1/1/2016 0:15,1/1/2016 0:26,1,-73.97051239,40.79664993,-73.94923401,40.80746841,N,1.341000392,664,3150,785
id3280273,2,1/1/2016 0:15,1/1/2016 0:30,2,-73.97693634,40.7599144,-73.98152161,40.75177765,N,0.611445986,920,1066,277
id1210692,1,1/1/2016 0:15,1/1/2016 0:27,4,-73.99306488,40.73812866,-73.99285126,40.74514008,N,0.484707455,711,1524,495
id0846731,2,1/1/2016 0:15,1/1/2016 0:24,1,-74.00775146,40.74528885,-73.99510193,40.75620651,N,1.003978946,495,12343,1282
id1008975,2,1/1/2016 0:15,1/1/2016 0:42,1,-73.98532867,40.74198914,-73.92759705,40.86553955,N,9.057309549,1593,17633,1555
id1632188,2,1/1/2016 0:15,1/1/2016 0:18,1,-73.99037933,40.76152802,-73.99049377,40.76135635,N,0.013290753,164,21,5
id0633946,2,1/1/2016 0:16,1/1/2016 0:35,1,-73.98442078,40.74978638,-74.0070343,40.70675278,N,3.20131835,1149,7927,1066
id3160933,2,1/1/2016 0:16,1/1/2016 0:36,1,-73.98230743,40.73527145,-73.96640015,40.79952621,N,4.518211426,1208,10491,1531
id1378987,2,1/1/2016 0:16,1/1/2016 0:46,1,-73.99059296,40.74612808,-73.95156097,40.82513809,N,5.830099314,1812,12257,1652
id1320937,1,1/1/2016 0:16,1/1/2016 0:35,1,-73.96391296,40.7767067,-73.93557739,40.85024643,N,5.294239664,1115,11267,1217
id2788317,2,1/1/2016 0:17,1/1/2016 0:43,1,-73.94866943,40.7820549,-74.00457764,40.72291183,N,5.02751603,1510,13062,1479
id3851045,1,1/1/2016 0:17,1/1/2016 0:27,1,-73.97682953,40.75892258,-73.95006561,40.78003693,N,2.022853505,643,4180,995
id2905168,2,1/1/2016 0:17,1/1/2016 0:38,1,-73.96833038,40.77080154,-74.0038681,40.74193954,N,2.72770357,1302,5481,1258
id3228429,2,1/1/2016 0:17,1/1/2016 0:24,1,-73.95009613,40.80158997,-73.94311523,40.78750992,N,1.039402851,392,2352,618
id0615830,2,1/1/2016 0:17,1/1/2016 0:35,1,-73.97541046,40.76081085,-73.98193359,40.75213623,N,0.689968156,1103,1110,275
id0874252,1,1/1/2016 0:17,1/1/2016 0:24,4,-73.99645996,40.74275589,-73.99156189,40.72703171,N,1.116604279,478,2844,852
id3700650,1,1/1/2016 0:17,1/1/2016 0:25,2,-73.97221375,40.76529694,-73.977005,40.75906372,N,0.498488674,493,802,222
id2516296,2,1/1/2016 0:17,1/1/2016 0:24,2,-74.00517273,40.70306015,-73.99369049,40.72093964,N,1.374332003,418,2399,611
id1126109,1,1/1/2016 0:17,1/1/2016 0:30,2,-73.96080017,40.77222061,-73.98164368,40.7469635,N,2.058567816,752,3471,905
id3150178,2,1/1/2016 0:18,1/1/2016 0:34,1,-73.97496796,40.77772141,-73.97388458,40.75742722,N,1.40373397,955,3113,792
id2685361,1,1/1/2016 0:18,1/1/2016 0:43,1,-74.00861359,40.71967697,-73.93904114,40.84350967,N,9.300686851,1541,16970,1841
id1306004,1,1/1/2016 0:18,1/1/2016 0:25,1,-73.99497223,40.75517654,-73.99269104,40.74839401,N,0.4837356,400,1113,304
id3750179,1,1/1/2016 0:18,1/1/2016 0:27,2,-74.00588989,40.74014664,-73.99472046,40.75037766,N,0.917619375,519,1725,564
id3689002,1,1/1/2016 0:18,1/1/2016 0:41,4,-74.00566864,40.73800659,-73.96466064,40.79258728,N,4.340215783,1416,9031,1416
id2753900,2,1/1/2016 0:18,1/1/2016 0:25,1,-73.99513245,40.76948929,-73.97532654,40.78607941,N,1.545674414,444,3330,555
id2385969,2,1/1/2016 0:18,1/1/2016 0:37,6,-73.99458313,40.71898651,-73.99240875,40.75358963,N,2.394227411,1119,4978,1361
id3187104,2,1/1/2016 0:19,1/1/2016 0:31,1,-73.96743774,40.75551224,-73.92857361,40.76481247,N,2.133635184,675,5801,970
id1599467,2,1/1/2016 0:19,1/1/2016 0:29,5,-73.99803162,40.71976471,-73.99404144,40.69547272,N,1.691852244,613,4340,1023
id0697399,1,1/1/2016 0:19,1/1/2016 0:30,1,-73.99173737,40.75437927,-73.99583435,40.75509644,N,0.220144626,685,651,215
id3632346,2,1/1/2016 0:19,1/1/2016 0:24,1,-73.96742249,40.78820801,-73.97117615,40.79579163,N,0.559716983,287,1496,385
id2297336,2,1/1/2016 0:19,1/1/2016 0:34,2,-73.97813416,40.72935867,-73.9540329,40.78441238,N,4.008664802,923,8571,1153
id3764623,2,1/1/2016 0:20,1/1/2016 0:28,5,-73.97171021,40.75943375,-73.95810699,40.78188324,N,1.707118524,484,3314,744
id3985015,1,1/1/2016 0:20,1/1/2016 0:36,2,-74.00737,40.7431221,-74.00064087,40.7205162,N,1.601610158,922,3702,849
id0125867,1,1/1/2016 0:20,1/1/2016 0:38,1,-73.99498749,40.75517654,-73.9967804,40.72082901,N,2.375709935,1079,5244,1353
id0862063,2,1/1/2016 0:20,1/1/2016 0:27,1,-73.91600037,40.74634933,-73.88553619,40.75548172,N,1.715344262,465,3320,715
id2736660,1,1/1/2016 0:20,1/1/2016 0:24,3,-73.99924469,40.72764587,-74.00590515,40.72709274,N,0.350931706,221,784,273
id0571277,1,1/1/2016 0:20,1/1/2016 0:21,1,-73.98488617,40.73621368,-73.98815918,40.73768997,N,0.199469714,72,321,121
id2117730,2,1/1/2016 0:20,1/1/2016 0:28,1,-73.98627472,40.74737167,-73.98040771,40.73363876,N,0.997604919,472,2268,621
id3762816,1,1/1/2016 0:21,1/1/2016 0:27,1,-73.97582245,40.77628326,-73.97968292,40.78640366,N,0.728041225,390,1669,448
id1735510,2,1/1/2016 0:21,1/1/2016 0:33,1,-74.00634003,40.71673203,-73.99694824,40.74299622,N,1.88065541,762,3322,763
id3569182,2,1/1/2016 0:21,1/1/2016 0:41,1,-73.98818207,40.73455811,-73.94696045,40.7142601,N,2.574811745,1206,6323,1408
id3621477,2,1/1/2016 0:21,1/1/2016 0:54,1,-73.94329071,40.83647537,-73.9250412,40.744133,N,6.453084109,1929,16209,1582
id3377465,1,1/1/2016 0:21,1/1/2016 0:25,4,-73.98854828,40.77497482,-73.97828674,40.78316879,N,0.780454337,220,1536,392
id3860690,2,1/1/2016 0:21,1/1/2016 0:35,2,-73.9729538,40.7644577,-73.92800903,40.76317596,N,2.354370359,871,5494,999
id0507270,2,1/1/2016 0:21,1/1/2016 0:26,6,-73.94844818,40.78229523,-73.94961548,40.77093124,N,0.787769043,245,1682,376
id1784392,2,1/1/2016 0:22,1/1/2016 0:34,1,-73.99005127,40.77133179,-73.98992157,40.76210022,N,0.638055505,717,1496,370
id0863823,2,1/1/2016 0:22,1/1/2016 0:35,1,-73.99465179,40.75597382,-73.98750305,40.7328186,N,1.643516013,740,3729,978
id3284641,1,1/1/2016 0:22,1/1/2016 0:38,1,-73.99544525,40.7216301,-73.96537781,40.75504684,N,2.795183242,911,6585,1085
id0640354,1,1/1/2016 0:22,1/1/2016 0:27,4,-73.97255707,40.78085709,-73.9629364,40.79394913,N,1.035448929,290,1666,361
id0037223,2,1/1/2016 0:22,1/1/2016 0:49,1,-73.77674866,40.64596939,-73.96048737,40.76797867,N,12.79730711,1657,28514,2625
id1080935,1,1/1/2016 0:22,1/1/2016 0:25,1,-73.95311737,40.78086472,-73.95018005,40.77890015,N,0.205098929,201,618,218
id3787475,1,1/1/2016 0:22,1/1/2016 0:34,1,-73.96648407,40.75627899,-73.98016357,40.78978729,N,2.424003357,707,5458,1233
id1605007,2,1/1/2016 0:22,1/1/2016 0:45,2,-73.98046875,40.75363541,-73.96553802,40.80570602,N,3.682598783,1376,8618,1540
id3012953,2,1/1/2016 0:23,1/1/2016 0:44,1,-73.96707916,40.77286148,-73.91710663,40.87973785,N,7.835224782,1244,15778,1308
id2860315,2,1/1/2016 0:23,1/1/2016 0:37,1,-73.99914551,40.73429871,-73.99285126,40.75292587,N,1.328894354,825,2615,755
id0908265,2,1/1/2016 0:23,1/1/2016 0:52,1,-73.99712372,40.72230911,-73.9804306,40.77722168,N,3.894501446,1757,8352,1843
id3298816,2,1/1/2016 0:23,1/1/2016 0:41,1,-73.99825287,40.74039841,-74.00732422,40.70518494,N,2.479650408,1080,6093,1086
id1035939,2,1/1/2016 0:23,1/1/2016 0:41,6,-73.95669556,40.76714706,-73.98057556,40.74924088,N,1.759083798,1118,3530,959
id1898289,2,1/1/2016 0:23,1/1/2016 0:43,3,-73.9422226,40.70196152,-73.99777985,40.74039078,N,3.939891207,1179,8188,1890
id1819493,1,1/1/2016 0:24,1/1/2016 0:34,1,-73.9927597,40.73728943,-74.00375366,40.71552658,N,1.610545973,584,3018,838
id2038821,2,1/1/2016 0:24,1/1/2016 0:33,1,-73.97708893,40.78458023,-73.95365143,40.80696869,N,1.974333896,512,3685,743
id0058213,2,1/1/2016 0:24,1/1/2016 0:46,1,-73.9868927,40.73661041,-73.96777344,40.76874924,N,2.436336943,1304,4287,1101
id1637174,2,1/1/2016 0:24,1/1/2016 0:49,1,-73.98831177,40.73459625,-73.94358063,40.69379425,N,3.666465289,1497,7824,1758
id0029066,1,1/1/2016 0:24,1/1/2016 0:31,4,-73.9781189,40.78349304,-73.95791626,40.77463531,N,1.22173697,406,2203,494
id2878311,1,1/1/2016 0:24,1/1/2016 0:41,1,-73.99412537,40.7510643,-73.96364594,40.75728989,N,1.652714943,1063,3778,990
id1908323,2,1/1/2016 0:24,1/1/2016 0:30,4,-73.96981812,40.75708771,-73.95052338,40.77222824,N,1.454325561,380,2882,666
id3911085,1,1/1/2016 0:24,1/1/2016 0:47,2,-73.9728775,40.76435471,-73.98314667,40.73153687,N,2.330993138,1381,4615,1082
id1572472,2,1/1/2016 0:24,1/1/2016 0:33,2,-73.98278809,40.7772789,-73.97605896,40.76026154,N,1.227726198,512,2404,706
id2744448,2,1/1/2016 0:25,1/1/2016 0:40,1,-73.99279785,40.75844955,-74.01425934,40.71406174,N,3.267160853,913,6068,1067
id3907911,1,1/1/2016 0:25,1/1/2016 0:37,1,-74.00898743,40.70676422,-73.99240875,40.68188858,N,1.926252596,710,5563,1060
id2726802,2,1/1/2016 0:25,1/1/2016 0:26,1,-73.92266846,40.74385071,-73.92589569,40.74419022,N,0.170606157,44,274,50
id3709669,1,1/1/2016 0:25,1/1/2016 0:35,1,-73.98176575,40.75246811,-73.98686981,40.74431229,N,0.62381419,576,1035,280
id2669182,1,1/1/2016 0:26,1/1/2016 0:57,2,-74.00514221,40.74076843,-73.95874786,40.80981827,N,5.354449539,1812,11543,1533
id3535772,1,1/1/2016 0:26,1/1/2016 0:31,1,-73.96285248,40.76947021,-73.95385742,40.77534866,N,0.621861823,254,1388,322
id3733268,1,1/1/2016 0:26,1/1/2016 0:33,1,-73.98371887,40.78091049,-73.9697113,40.79872131,N,1.432649086,441,3183,450
id0645975,1,1/1/2016 0:26,1/1/2016 0:31,1,-73.98110962,40.74159241,-73.98613739,40.73283768,N,0.659867266,299,1478,368
id0822503,2,1/1/2016 0:26,1/1/2016 0:46,1,-74.00436401,40.73075104,-73.98204041,40.78313065,N,3.804070754,1188,7571,1277
id0892075,1,1/1/2016 0:26,1/1/2016 0:35,3,-73.99851227,40.74281311,-73.9807663,40.72985077,N,1.29081968,544,2543,810
id2065990,2,1/1/2016 0:26,1/1/2016 0:29,5,-73.99886322,40.74465942,-73.99836731,40.75009155,N,0.376326441,175,803,216
id1740018,2,1/1/2016 0:26,1/1/2016 0:41,3,-73.98555756,40.73081589,-73.93628693,40.75449371,N,3.055188203,906,6877,1242
id1498423,2,1/1/2016 0:27,1/1/2016 0:55,5,-73.9384079,40.7215004,-73.95054626,40.78326035,N,4.315452842,1678,16824,1436
id0848428,2,1/1/2016 0:27,1/1/2016 0:39,1,-73.94946289,40.77286911,-73.97698975,40.7506218,N,2.10726348,698,4355,719
id3389723,2,1/1/2016 0:27,1/1/2016 0:39,1,-73.99563599,40.72706604,-73.97776031,40.7510643,N,1.904508393,734,3427,993
id0323307,2,1/1/2016 0:28,1/1/2016 0:41,1,-73.9838028,40.78083038,-73.96359253,40.76588821,N,1.47829961,793,3084,808
id3554862,2,1/1/2016 0:28,1/1/2016 0:39,1,-73.98213959,40.76914978,-73.96941376,40.79875183,N,2.151538446,646,5299,739
id3851336,2,1/1/2016 0:28,1/1/2016 1:01,1,-73.958992,40.7746315,-73.87604523,40.75624084,N,4.524087185,1952,13643,1554
id1320895,2,1/1/2016 0:28,1/2/2016 0:25,3,-73.98150635,40.78046417,-73.98744965,40.75134277,N,2.036563033,86258,3925,1071
id0719864,2,1/1/2016 0:28,1/1/2016 0:33,3,-73.92765045,40.86661911,-73.91589355,40.87194061,N,0.716114801,300,1234,239
id2555500,1,1/1/2016 0:29,1/1/2016 0:47,1,-73.9638443,40.76137924,-73.9673233,40.71325302,N,3.331123244,1069,8284,1456
id1753158,1,1/1/2016 0:29,1/1/2016 0:31,1,-73.97465515,40.75575256,-73.97701263,40.75048828,N,0.384194846,115,744,227
id3565033,2,1/1/2016 0:29,1/1/2016 0:47,3,-74.00749969,40.74095535,-73.97821045,40.74562836,N,1.567300936,1100,4458,1111
id3393823,2,1/1/2016 0:30,1/1/2016 0:51,1,-73.99086761,40.74516678,-73.97763824,40.7840271,N,2.773587727,1241,5416,1250
id3360308,1,1/1/2016 0:30,1/1/2016 0:53,2,-74.00050354,40.73244476,-73.96961975,40.76348114,N,2.686243862,1396,5021,1276
id0972681,1,1/1/2016 0:30,1/1/2016 0:46,3,-73.96549225,40.7716217,-73.91416168,40.7779541,N,2.721948627,976,11254,1448
id0698653,1,1/1/2016 0:30,1/1/2016 0:38,1,-73.9547348,40.76371765,-73.97563171,40.74883652,N,1.501536516,511,3245,606
id0423757,2,1/1/2016 0:30,1/1/2016 0:39,1,-73.9594574,40.76745605,-73.98202515,40.74032974,N,2.216026097,527,4907,804
id0241771,1,1/1/2016 0:30,1/1/2016 0:50,2,-74.00808716,40.71474075,-73.95606995,40.72040176,N,2.752761066,1200,8309,1245
id0442648,2,1/1/2016 0:30,1/1/2016 0:58,1,-73.94616699,40.7509079,-73.94616699,40.7509079,N,0,1674,0,0
id1461148,2,1/1/2016 0:30,1/1/2016 0:38,1,-73.96051788,40.76144409,-73.97776031,40.72937012,N,2.393524828,493,4662,625
id2934500,2,1/1/2016 0:30,1/1/2016 0:31,2,-73.98881531,40.75007248,-73.98906708,40.75008011,N,0.013192558,46,19,4
id1805805,2,1/1/2016 0:30,1/1/2016 0:37,2,-73.97382355,40.74322891,-73.95567322,40.77193832,N,2.199971155,432,3725,730
id3915791,1,1/1/2016 0:30,1/1/2016 0:52,1,-73.98582458,40.72775269,-73.95485687,40.72870636,N,1.623259246,1353,7217,1273
id1436275,1,1/1/2016 0:31,1/1/2016 0:42,1,-73.98111725,40.75921631,-73.94647217,40.78050232,N,2.33508178,635,4901,1120
id0959859,1,1/1/2016 0:31,1/1/2016 0:40,1,-73.98217773,40.72790909,-74.00335693,40.7335434,N,1.175576821,589,2031,714
id0103089,2,1/1/2016 0:31,1/1/2016 1:04,1,-74.00444794,40.74222183,-73.9491806,40.79085159,N,4.434521774,1982,9955,1637
id2255088,2,1/1/2016 0:31,1/1/2016 1:12,2,-73.9997406,40.71461105,-73.95618439,40.68709564,N,2.970633627,2427,7676,1242
id2230774,1,1/1/2016 0:31,1/1/2016 0:38,1,-73.95358276,40.77537537,-73.9589386,40.76156235,N,0.994966856,409,2462,424
id3851291,2,1/1/2016 0:31,1/1/2016 0:39,1,-73.9487915,40.82850647,-73.93462372,40.84560013,N,1.394450784,450,3465,573
id0429493,1,1/1/2016 0:31,1/1/2016 0:46,1,-73.98706818,40.74743652,-73.98455811,40.72652817,N,1.451000972,915,3478,936
id0059071,2,1/1/2016 0:31,1/1/2016 0:37,1,-73.99863434,40.74029922,-73.99116516,40.73139191,N,0.729365233,390,1553,445
id3419092,2,1/1/2016 0:32,1/1/2016 0:43,1,-73.9899826,40.73996353,-73.98770905,40.71994781,N,1.38845731,668,3220,990
id1550477,2,1/1/2016 0:32,1/1/2016 0:40,6,-73.98809814,40.74095917,-73.98734283,40.72906113,N,0.823257601,457,1816,452
id0730393,1,1/1/2016 0:32,1/1/2016 0:46,2,-73.99661255,40.73199463,-73.98084259,40.74772263,N,1.36511092,823,3234,900
id0859658,2,1/1/2016 0:32,1/1/2016 0:40,1,-73.95697021,40.78078079,-73.97810364,40.78303909,N,1.116919387,476,2464,562
id1349085,2,1/1/2016 0:33,1/1/2016 0:50,1,-74.00798035,40.74020767,-73.98892212,40.76508331,N,1.987797652,992,3944,910
id3571548,2,1/1/2016 0:33,1/1/2016 0:36,4,-74.0018692,40.73950577,-74.00396729,40.74798584,N,0.596289199,186,1351,337
id0280365,1,1/1/2016 0:33,1/1/2016 0:43,4,-74.0027771,40.76027679,-73.98986053,40.76372528,N,0.716931226,639,1814,440
id0892045,2,1/1/2016 0:33,1/1/2016 1:07,1,-73.77671051,40.64556122,-73.90402222,40.85158157,N,15.72171764,2036,32730,2459
id1781232,2,1/1/2016 0:33,1/1/2016 0:43,1,-73.9821167,40.7787056,-73.99178314,40.76801682,N,0.895372398,554,1817,486
id3736543,1,1/1/2016 0:33,1/1/2016 0:34,1,-73.96761322,40.75222778,-73.96258545,40.75867462,N,0.517501079,87,835,215
id1952448,1,1/1/2016 0:34,1/1/2016 0:50,1,-73.95687866,40.77788162,-73.98365021,40.73400879,N,3.340428139,984,6970,956
id1780891,1,1/1/2016 0:34,1/1/2016 0:50,1,-73.95769501,40.71446991,-73.96573639,40.68756485,N,1.906621089,937,3691,650
id2951667,1,1/1/2016 0:34,1/1/2016 1:01,2,-73.93982697,40.70770645,-73.95251465,40.77672577,N,4.816161627,1662,10370,1919
id1039497,2,1/1/2016 0:34,1/1/2016 0:51,1,-73.96721649,40.75690079,-73.99180603,40.76786041,N,1.493528853,1029,2688,971
id1384742,1,1/1/2016 0:34,1/1/2016 0:44,1,-73.98220062,40.76821136,-73.97021484,40.75379944,N,1.177197662,636,2504,725
id1224906,2,1/1/2016 0:35,1/1/2016 0:49,1,-74.00955963,40.73806381,-73.98323059,40.73041534,N,1.476701042,794,2622,977
id1588995,2,1/1/2016 0:35,1/1/2016 0:52,1,-74.00248718,40.73963165,-73.97724152,40.7507515,N,1.529062241,1010,3399,992
id2467811,2,1/1/2016 0:35,1/1/2016 0:38,1,-73.98647308,40.73624802,-73.98083496,40.73464584,N,0.315342741,151,678,209
